Date,
8/29/1997,196
9/30/1997,195.04
10/31/1997,201.5
11/28/1997,215.87
12/31/1997,215.94
1/30/1998,207.73
2/27/1998,207.18
3/31/1998,222.37
4/30/1998,221.96
5/29/1998,226.31
6/30/1998,231.62
7/31/1998,236.61
8/31/1998,235.7
9/30/1998,232.39
10/30/1998,194.32
11/30/1998,202.73
12/31/1998,188.83
1/29/1999,191.35
2/26/1999,191.23
3/31/1999,191.55
4/30/1999,192.42
5/31/1999,194.875
6/30/1999,191.27
7/30/1999,185.75
8/31/1999,176.035
9/30/1999,175.215
10/29/1999,171.3
11/30/1999,162.37
12/31/1999,165.575
1/31/2000,173.51
2/29/2000,174.07
3/31/2000,163.555
4/28/2000,167.763
5/31/2000,161.6
6/30/2000,160.915
7/31/2000,164.07
8/31/2000,154.295
9/29/2000,159.56
10/31/2000,157.625
11/30/2000,157.295
12/29/2000,170.87
1/31/2001,170.65
2/28/2001,169.69
3/30/2001,178.66
4/30/2001,176.94
5/31/2001,169.12
6/29/2001,176.42
7/31/2001,178.1
8/31/2001,172.71
9/28/2001,176.25
10/31/2001,178.04
11/30/2001,175.85
12/31/2001,191.53
1/31/2002,189.98
2/28/2002,189.02
3/29/2002,189.22
4/30/2002,187.4
5/31/2002,180.76
6/28/2002,183.39
7/31/2002,187.395
8/30/2002,183.61
9/30/2002,191.065
10/31/2002,191.69
11/29/2002,190.76
12/31/2002,191.23
1/31/2003,197.56
2/28/2003,185.687
3/31/2003,186.891
4/30/2003,190.025
5/30/2003,195.227
6/30/2003,198.29
7/31/2003,194.148
8/29/2003,184.47
9/30/2003,185.305
10/31/2003,186.465
11/28/2003,188.795
12/31/2003,191.399
1/30/2004,192.775
2/27/2004,203.88
3/31/2004,192.43
4/30/2004,196.5
5/31/2004,200.651
6/30/2004,198.005
7/30/2004,202.64
8/31/2004,196.77
9/30/2004,199.41
10/29/2004,194.324
11/30/2004,196.8
12/31/2004,196.847
1/31/2005,195.255
2/28/2005,200.99
3/31/2005,202.563
4/29/2005,199.915
5/31/2005,197.28
6/30/2005,198.71
7/29/2005,197.741
8/31/2005,199.579
9/30/2005,200.243
10/31/2005,206.015
11/30/2005,207.185
12/30/2005,202.88
1/31/2006,208.546
2/28/2006,202.973
3/31/2006,204.59
4/28/2006,207.813
5/31/2006,210.6
6/30/2006,211.535
7/31/2006,214.173
8/31/2006,223.58
9/29/2006,221.255
10/31/2006,223.114
11/30/2006,227.69
12/29/2006,233.215
1/31/2007,237.213
2/28/2007,232.85
3/30/2007,231.879
4/30/2007,238.985
5/31/2007,241.015
6/29/2007,247.445
7/31/2007,240.893
8/31/2007,233.518
9/28/2007,235.01
10/31/2007,240.062
11/30/2007,228.755
12/31/2007,221.74
1/31/2008,211.52
2/29/2008,206.334
3/31/2008,197.76
4/30/2008,206.436
5/30/2008,209.141
6/30/2008,211.621
7/31/2008,214.105
8/29/2008,198.113
9/30/2008,188.953
10/31/2008,158.265
11/28/2008,146.893
12/31/2008,132.479
1/30/2009,130.73
2/27/2009,139.698
3/31/2009,141.758
4/30/2009,145.885
5/29/2009,154.313
6/30/2009,158.59
7/31/2009,158.22
8/31/2009,151.659
9/30/2009,143.36
10/30/2009,148.175
11/30/2009,142.05
12/31/2009,150.45
1/29/2010,144.306
2/26/2010,135.515
3/31/2010,141.899
4/30/2010,143.357
5/31/2010,132.66
6/30/2010,132.165
7/30/2010,135.67
8/31/2010,129.211
9/30/2010,131.264
10/29/2010,128.94
11/30/2010,130.231
12/31/2010,126.655
1/31/2011,131.377
2/28/2011,132.959
3/31/2011,133.24
4/29/2011,135.662
5/31/2011,134.1
6/30/2011,129.33
7/29/2011,126.04
8/31/2011,124.568
9/30/2011,120.03
10/31/2011,125.76
11/30/2011,121.89
12/30/2011,119.515
1/31/2012,120.2
2/29/2012,129.165
3/30/2012,132.595
4/30/2012,129.583
5/31/2012,120.637
6/29/2012,125.323
7/31/2012,122.475
8/31/2012,124.35
9/28/2012,126.013
10/31/2012,128.664
11/30/2012,132.059
12/31/2012,140.895
1/31/2013,145.446
2/28/2013,140.354
3/29/2013,143.2
4/30/2013,151.336
5/31/2013,152.72
6/28/2013,150.821
7/31/2013,148.844
8/30/2013,152.167
9/30/2013,158.992
10/31/2013,157.744
11/29/2013,167.658
12/31/2013,174.266
1/31/2014,167.693
2/28/2014,170.435
3/31/2014,172.003
4/30/2014,172.507
5/30/2014,170.524
6/30/2014,173.323
7/31/2014,173.575
8/29/2014,172.76
9/30/2014,177.777
10/31/2014,179.68
11/28/2014,185.575
12/31/2014,186.405
1/30/2015,176.922
2/27/2015,184.68
3/31/2015,178.016
4/30/2015,183.269
5/29/2015,189.834
6/30/2015,192.492
7/31/2015,193.539
8/31/2015,186.019
9/30/2015,181.36
10/30/2015,186.101
11/30/2015,185.349
12/31/2015,177.16
1/29/2016,172.57
2/29/2016,156.839
3/31/2016,161.648
4/29/2016,155.615
5/31/2016,160.373
6/30/2016,137.383
7/29/2016,134.983
8/31/2016,135.881
9/30/2016,131.52
10/31/2016,128.335
11/30/2016,143.155
12/30/2016,144.171
1/31/2017,141.889
2/28/2017,139.625
3/31/2017,139.835
4/28/2017,144.43
5/31/2017,142.791
6/30/2017,146.486
7/31/2017,145.709
8/31/2017,142.199
