DateTime,Actual,Consensus,Previous,Revised
08/15/2017 08:30:00,2.600,2.700,2.600,
07/18/2017 08:30:00,2.600,2.900,2.900,
06/13/2017 08:30:00,2.900,2.700,2.700,
05/16/2017 08:30:00,2.700,2.600,2.300,
04/11/2017 08:30:00,2.300,2.300,2.300,
03/21/2017 09:30:00,2.300,2.100,1.800,
02/14/2017 09:30:00,1.800,1.900,1.600,
01/17/2017 09:30:00,1.600,1.400,1.200,
12/13/2016 09:30:00,1.200,1.100,0.900,
11/15/2016 09:30:00,0.900,1.100,1.000,
10/18/2016 08:30:00,1.000,0.800,0.600,
09/13/2016 08:30:00,0.600,0.700,0.600,
08/16/2016 08:30:00,0.600,0.500,0.500,
07/19/2016 08:30:00,0.500,0.400,0.300,
06/14/2016 08:30:00,0.300,0.400,0.300,
05/17/2016 08:30:00,0.300,0.500,0.500,
04/12/2016 08:30:00,0.500,0.400,0.300,
03/22/2016 09:30:00,0.300,0.300,0.300,
02/16/2016 09:30:00,0.300,0.300,0.200,
01/19/2016 09:30:00,0.200,0.200,0.100,
12/15/2015 09:30:00,0.100,0.100,-0.100,
11/17/2015 09:30:00,-0.100,-0.100,-0.100,
10/13/2015 08:30:00,-0.100,0.000,0.000,
09/15/2015 08:30:00,0.000,0.000,0.100,
08/18/2015 08:30:00,0.100,0.000,0.000,
07/14/2015 08:30:00,0.000,0.000,0.100,
06/16/2015 08:30:00,0.100,0.100,-0.100,
05/19/2015 08:30:00,-0.100,0.000,0.000,
04/14/2015 08:30:00,0.000,0.000,0.000,
03/24/2015 09:30:00,0.000,0.100,0.300,
02/17/2015 09:30:00,0.300,0.300,0.500,
01/13/2015 09:30:00,0.500,0.700,1.000,
12/16/2014 09:30:00,1.000,1.200,1.300,
11/18/2014 09:30:00,1.300,1.300,1.200,
10/14/2014 08:30:00,1.200,1.400,1.500,
09/16/2014 08:30:00,1.500,1.500,1.600,
08/19/2014 08:30:00,1.600,1.800,1.900,
07/15/2014 08:30:00,1.900,1.600,1.500,
06/17/2014 08:30:00,1.500,1.700,1.800,
05/20/2014 08:30:00,1.800,1.700,1.600,
04/15/2014 08:30:00,1.600,1.600,1.700,
03/25/2014 09:30:00,1.700,1.700,1.900,
02/18/2014 09:30:00,1.900,2.000,2.000,
01/14/2014 09:30:00,2.000,2.100,2.100,
12/17/2013 09:30:00,2.100,2.200,2.200,
11/12/2013 09:30:00,2.200,2.500,2.700,
10/15/2013 08:30:00,2.700,2.600,2.700,
09/17/2013 08:30:00,2.700,2.700,2.800,
08/13/2013 08:30:00,2.800,2.800,2.900,
07/16/2013 08:30:00,2.900,3.000,2.700,
