DATE,EUR1MTD156N,EUR3MTD156N,GBP1MTD156N,GBP3MTD156N,USD1MTD156N,USD3MTD156N
1986-01-02,,,11.75000,11.87500,8.12500,8.00000
1986-01-03,,,11.81250,11.87500,8.12500,8.06250
1986-01-06,,,11.75000,11.90630,8.18750,8.12500
1986-01-07,,,11.75000,12.03130,8.12500,8.12500
1986-01-08,,,12.25000,12.50000,8.00000,8.00000
1986-01-09,,,12.87500,12.93750,8.18750,8.18750
1986-01-10,,,12.75000,12.87500,8.25000,8.25000
1986-01-13,,,12.62500,12.93750,8.31250,8.37500
1986-01-14,,,13.06250,13.21880,8.37500,8.37500
1986-01-15,,,12.81250,13.00000,8.25000,8.25000
1986-01-16,,,12.81250,12.87500,8.18750,8.18750
1986-01-17,,,12.81250,12.96880,8.18750,8.18750
1986-01-20,,,12.75000,13.06250,8.25000,8.25000
1986-01-21,,,13.25000,13.50000,8.18750,8.18750
1986-01-22,,,13.37500,13.62500,8.18750,8.18750
1986-01-23,,,13.50000,13.62500,8.18750,8.18750
1986-01-24,,,13.12500,13.37500,8.18750,8.18750
1986-01-27,,,12.75000,13.21880,8.12500,8.12500
1986-01-28,,,12.68750,12.81250,8.06250,8.06250
1986-01-29,,,12.71880,12.93750,8.06250,8.06250
1986-01-30,,,12.75000,12.93750,8.06250,8.06250
1986-01-31,,,12.81250,12.90630,8.06250,8.06250
1986-02-03,,,12.81250,13.12500,8.06250,8.06250
1986-02-04,,,13.00000,13.18750,8.03130,8.06250
1986-02-05,,,12.81250,12.93750,8.00000,8.00000
1986-02-06,,,12.93750,12.93750,8.00000,8.00000
1986-02-07,,,12.87500,12.87500,8.00000,8.06250
1986-02-10,,,12.81250,12.84380,8.06250,8.12500
1986-02-11,,,12.81250,12.81250,8.03130,8.06250
1986-02-12,,,12.84380,12.87500,8.06250,8.06250
1986-02-13,,,12.81250,12.84380,8.06250,8.06250
1986-02-14,,,12.81250,12.84380,8.00000,8.06250
1986-02-17,,,12.81250,12.81250,8.00000,8.00000
1986-02-18,,,12.75000,12.68750,8.00000,8.00000
1986-02-19,,,12.75000,12.50000,8.00000,8.00000
1986-02-20,,,12.75000,12.56250,8.00000,8.00000
1986-02-21,,,12.81250,12.62500,8.00000,8.00000
1986-02-24,,,12.75000,12.50000,8.00000,8.00000
1986-02-25,,,12.75000,12.34380,7.93750,7.93750
1986-02-26,,,12.68750,12.37500,8.00000,8.00000
1986-02-27,,,12.68750,12.31250,7.96880,7.93750
1986-02-28,,,12.68750,12.37500,7.93750,7.87500
1986-03-03,,,12.75000,12.50000,7.93750,7.87500
1986-03-04,,,12.75000,12.37500,7.90630,7.75000
1986-03-05,,,12.68750,12.25000,7.81250,7.68750
1986-03-06,,,12.75000,12.25000,7.81250,7.68750
1986-03-07,,,12.68750,12.12500,7.65630,7.56250
1986-03-10,,,12.62500,12.00000,7.56250,7.56250
1986-03-11,,,12.56250,11.87500,7.50000,7.50000
1986-03-12,,,12.37500,11.75000,7.50000,7.43750
1986-03-13,,,12.43750,11.81250,7.56250,7.50000
1986-03-14,,,12.31250,11.81250,7.56250,7.50000
1986-03-17,,,12.31250,11.81250,7.56250,7.50000
1986-03-18,,,12.00000,11.75000,7.62500,7.50000
1986-03-19,,,11.87500,11.56250,7.68750,7.56250
1986-03-20,,,11.81250,11.31250,7.68750,7.56250
1986-03-21,,,11.84380,11.31250,7.62500,7.50000
1986-03-24,,,11.87500,11.37500,7.62500,7.56250
1986-03-25,,,11.93750,11.56250,7.62500,7.56250
1986-03-26,,,11.93750,11.56250,7.56250,7.56250
1986-03-27,,,11.93750,11.43750,7.50000,7.43750
1986-03-28,,,#N/A,#N/A,#N/A,#N/A
1986-03-31,,,#N/A,#N/A,#N/A,#N/A
1986-04-01,,,11.87500,11.43750,7.43750,7.31250
1986-04-02,,,11.81250,11.43750,7.43750,7.31250
1986-04-03,,,11.68750,11.31250,7.43750,7.31250
1986-04-04,,,11.68750,11.31250,7.50000,7.34750
1986-04-07,,,11.50000,11.06250,7.40630,7.25000
1986-04-08,,,11.15630,10.75000,7.18750,7.06250
1986-04-09,,,10.75000,10.40630,6.87500,6.87500
1986-04-10,,,10.81250,10.37500,6.93750,6.87500
1986-04-11,,,10.87500,10.37500,6.93750,6.87500
1986-04-14,,,10.81250,10.31250,6.93750,6.87500
1986-04-15,,,10.87500,10.34380,6.93750,6.81250
1986-04-16,,,10.78130,10.31250,6.87500,6.75000
1986-04-17,,,10.53130,10.00000,6.68750,6.56250
1986-04-18,,,10.75000,10.06250,6.68750,6.62500
1986-04-21,,,10.81250,10.12500,6.81250,6.68750
1986-04-22,,,10.87500,10.31250,6.87500,6.75000
1986-04-23,,,10.87500,10.37500,7.00000,6.81250
1986-04-24,,,10.87500,10.37500,7.00000,6.81250
1986-04-25,,,10.87500,10.43750,7.00000,6.93750
1986-04-28,,,10.93750,10.56250,7.00000,7.00000
1986-04-29,,,10.87500,10.50000,6.93750,6.87500
1986-04-30,,,10.87500,10.50000,6.93750,6.87500
1986-05-01,,,10.93750,10.50000,7.00000,6.87500
1986-05-02,,,10.87500,10.56250,7.00000,6.93750
1986-05-05,,,#N/A,#N/A,#N/A,#N/A
1986-05-06,,,10.81250,10.43750,6.93750,6.81250
1986-05-07,,,10.81250,10.50000,6.93750,6.81250
1986-05-08,,,10.75000,10.50000,6.93750,6.81250
1986-05-09,,,10.75000,10.50000,6.93750,6.84380
1986-05-12,,,10.50000,10.37500,7.00000,6.93750
1986-05-13,,,10.50000,10.31250,7.06250,7.06250
1986-05-14,,,10.37500,10.18750,7.00000,6.93750
1986-05-15,,,10.50000,10.25000,7.06250,7.00000
1986-05-16,,,10.50000,10.31250,7.12500,7.12500
1986-05-19,,,10.53130,10.37500,7.12500,7.12500
1986-05-20,,,10.56250,10.37500,7.15630,7.18750
1986-05-21,,,10.62500,10.37500,7.06250,7.06250
1986-05-22,,,10.37500,10.18750,7.06250,7.06250
1986-05-23,,,10.12500,10.00000,7.06250,7.06250
1986-05-26,,,#N/A,#N/A,#N/A,#N/A
1986-05-27,,,10.12500,10.00000,7.00000,7.06250
1986-05-28,,,10.12500,9.87500,7.00000,7.00000
1986-05-29,,,10.00000,9.81250,7.06250,7.06250
1986-05-30,,,10.12500,9.87500,7.12500,7.12500
1986-06-02,,,10.12500,9.93750,7.12500,7.12500
1986-06-03,,,10.12500,9.81250,7.18750,7.18750
1986-06-04,,,10.00000,9.62500,7.18750,7.18750
1986-06-05,,,10.04690,9.75000,7.18750,7.18750
1986-06-06,,,10.00000,9.62500,7.18750,7.18750
1986-06-09,,,9.93750,9.65630,7.06250,7.06250
1986-06-10,,,10.00000,9.75000,7.12500,7.12500
1986-06-11,,,10.12500,9.87500,7.12500,7.12500
1986-06-12,,,10.12500,9.87500,7.12500,7.12500
1986-06-13,,,10.12500,9.87500,7.12500,7.12500
1986-06-16,,,10.12500,9.82810,7.06250,7.03130
1986-06-17,,,10.00000,9.81250,7.06250,7.00000
1986-06-18,,,10.00000,9.81250,7.06250,7.00000
1986-06-19,,,10.12500,9.87500,7.06250,7.00000
1986-06-20,,,10.12500,9.93750,7.06250,7.06250
1986-06-23,,,10.12500,9.93750,7.06250,7.06250
1986-06-24,,,10.06250,9.87500,7.06250,7.00000
1986-06-25,,,10.07810,9.81250,7.06250,6.93750
1986-06-26,,,10.06250,9.85940,7.06250,7.00000
1986-06-27,,,10.12500,9.87500,7.06250,6.93750
1986-06-30,,,10.12500,9.87500,7.03130,6.87500
1986-07-01,,,10.18750,9.87500,7.00000,6.81250
1986-07-02,,,10.25000,9.93750,7.00000,6.81250
1986-07-03,,,10.31250,9.98440,7.00000,6.81250
1986-07-04,,,10.31250,10.00000,6.93750,6.76560
1986-07-07,,,10.31250,10.00000,6.93750,6.75000
1986-07-08,,,10.25000,10.00000,6.93750,6.75000
1986-07-09,,,10.23440,10.17190,7.00000,6.81250
1986-07-10,,,10.18750,10.06250,6.87500,6.75000
1986-07-11,,,10.18750,10.06250,6.68750,6.68750
1986-07-14,,,10.04690,10.06250,6.68750,6.68750
1986-07-15,,,10.06250,10.10940,6.56250,6.56250
1986-07-16,,,10.06250,10.10940,6.56250,6.56250
1986-07-17,,,10.06250,10.00000,6.59380,6.57810
1986-07-18,,,10.06250,10.00000,6.62500,6.62500
1986-07-21,,,10.04690,10.06250,6.56250,6.56250
1986-07-22,,,9.95310,10.06250,6.56250,6.56250
1986-07-23,,,10.00000,10.00000,6.56250,6.56250
1986-07-24,,,10.00000,10.00000,6.62500,6.62500
1986-07-25,,,10.03130,10.00000,6.62500,6.62500
1986-07-28,,,10.00000,10.06250,6.62500,6.62500
1986-07-29,,,9.96880,10.03130,6.62500,6.62500
1986-07-30,,,10.04690,10.00000,6.56250,6.56250
1986-07-31,,,10.04690,10.00000,6.56250,6.56250
1986-08-01,,,10.00000,9.95310,6.43750,6.43750
1986-08-04,,,10.00000,10.00000,6.50000,6.50000
1986-08-05,,,10.00000,9.93750,6.50000,6.50000
1986-08-06,,,10.06250,9.93750,6.50000,6.50000
1986-08-07,,,10.06250,10.00000,6.50000,6.50000
1986-08-08,,,10.06250,10.04690,6.46880,6.43750
1986-08-11,,,10.00000,9.93750,6.43750,6.43750
1986-08-12,,,10.00000,9.87500,6.43750,6.37500
1986-08-13,,,9.93750,9.84380,6.37500,6.25000
1986-08-14,,,9.95310,9.82810,6.25000,6.18750
1986-08-15,,,10.00000,9.81250,6.28130,6.18750
1986-08-18,,,10.00000,9.81250,6.31250,6.18750
1986-08-19,,,10.00000,9.81250,6.31250,6.18750
1986-08-20,,,10.06250,9.79690,6.25000,6.06250
1986-08-21,,,10.00000,9.75000,6.00000,6.00000
1986-08-22,,,10.06250,9.87500,6.00000,5.93750
1986-08-25,,,#N/A,#N/A,#N/A,#N/A
1986-08-26,,,10.06250,9.93750,5.93750,5.87500
1986-08-27,,,10.06250,9.87500,5.87500,5.75000
1986-08-28,,,10.06250,9.93750,5.93750,5.81250
1986-08-29,,,10.12500,9.93750,5.93750,5.81250
1986-09-01,,,10.12500,9.93750,5.81250,5.62500
1986-09-02,,,10.18750,9.93750,5.81250,5.62500
1986-09-03,,,10.18750,10.00000,5.93750,5.75000
1986-09-04,,,10.14060,10.00000,6.00000,5.81250
1986-09-05,,,10.12500,9.93750,5.93750,5.75000
1986-09-08,,,10.18750,10.00000,6.03130,6.00000
1986-09-09,,,10.12500,10.00000,6.06250,6.06250
1986-09-10,,,9.96880,10.00000,6.01560,5.93750
1986-09-11,,,10.00000,10.00000,6.06250,6.00000
1986-09-12,,,9.87500,10.01560,6.18750,6.18750
1986-09-15,,,9.87500,9.96880,6.12500,6.06250
1986-09-16,,,9.81250,9.93750,6.12500,6.06250
1986-09-17,,,9.81250,9.93750,6.18750,6.12500
1986-09-18,,,9.84380,10.06250,6.12500,6.06250
1986-09-19,,,9.87500,10.34380,6.18750,6.12500
1986-09-22,,,9.87500,10.25000,6.18750,6.12500
1986-09-23,,,9.81250,10.31250,6.18750,6.12500
1986-09-24,,,9.93750,10.31250,6.14060,6.12500
1986-09-25,,,9.81250,10.37500,6.06250,6.06250
1986-09-26,,,10.06250,10.62500,6.12500,6.06250
1986-09-29,,,10.70310,11.17190,6.12500,6.12500
1986-09-30,,,10.62500,11.03130,6.12500,6.12500
1986-10-01,,,10.50000,10.93750,6.10940,6.10940
1986-10-02,,,10.43750,10.87500,6.06250,6.06250
1986-10-03,,,10.37500,11.00000,6.06250,6.06250
1986-10-06,,,10.25000,10.87500,6.00000,5.93750
1986-10-07,,,10.31250,10.85940,5.93750,5.87500
1986-10-08,,,10.37500,10.87500,5.93750,5.87500
1986-10-09,,,10.45310,11.00000,5.90630,5.87500
1986-10-10,,,10.39060,10.81250,5.87500,5.87500
1986-10-13,,,10.31250,10.81250,5.93750,5.93750
1986-10-14,,,10.37500,10.87500,5.93750,5.93750
1986-10-15,,,11.31250,11.42190,6.00000,6.00000
1986-10-16,,,11.31250,11.43750,6.00000,6.00000
1986-10-17,,,11.37500,11.62500,6.06250,6.00000
1986-10-20,,,11.43750,11.64060,6.12500,6.12500
1986-10-21,,,11.31250,11.43750,6.12500,6.12500
1986-10-22,,,11.18750,11.26560,6.06250,6.06250
1986-10-23,,,11.18750,11.25000,6.06250,6.06250
1986-10-24,,,11.18750,11.37500,6.06250,6.06250
1986-10-27,,,11.00000,11.28130,6.06250,6.06250
1986-10-28,,,11.00000,11.25000,6.03130,6.06250
1986-10-29,,,10.96880,11.25000,6.00000,6.06250
1986-10-30,,,11.00000,11.28130,5.87500,5.87500
1986-10-31,,,11.00000,11.25000,5.93750,5.93750
1986-11-03,,,10.95310,11.06250,6.00000,5.93750
1986-11-04,,,10.96880,11.06250,6.00000,6.00000
1986-11-05,,,11.00000,11.06250,6.06250,6.03130
1986-11-06,,,11.06250,11.06250,6.06250,6.00000
1986-11-07,,,11.06250,11.12500,6.06250,6.06250
1986-11-10,,,11.06250,11.12500,6.12500,6.12500
1986-11-11,,,11.01560,11.06250,6.12500,6.12500
1986-11-12,,,10.93750,11.20310,6.12500,6.12500
1986-11-13,,,10.90630,11.31250,6.06250,6.06250
1986-11-14,,,10.87500,11.25000,6.06250,6.06250
1986-11-17,,,10.93750,11.25000,6.07810,6.06250
1986-11-18,,,10.93750,11.31250,6.12500,6.12500
1986-11-19,,,10.92190,11.31250,6.12500,6.12500
1986-11-20,,,10.87500,11.37500,6.12500,6.12500
1986-11-21,,,10.87500,11.37500,6.12500,6.12500
1986-11-24,,,11.00000,11.37500,6.12500,6.12500
1986-11-25,,,10.93750,11.37500,6.09380,6.12500
1986-11-26,,,11.00000,11.37500,6.12500,6.12500
1986-11-27,,,11.07810,11.40630,6.37500,6.12500
1986-11-28,,,11.15630,11.43750,6.37500,6.12500
1986-12-01,,,11.07810,11.43750,6.37500,6.18750
1986-12-02,,,11.18750,11.50000,6.43750,6.18750
1986-12-03,,,11.15630,11.50000,6.50000,6.18750
1986-12-04,,,11.25000,11.50000,6.43750,6.18750
1986-12-05,,,11.18750,11.50000,6.39060,6.12500
1986-12-08,,,11.20310,11.50000,6.43750,6.18750
1986-12-09,,,11.12500,11.50000,6.43750,6.18750
1986-12-10,,,11.18750,11.50000,6.43750,6.18750
1986-12-11,,,11.12500,11.50000,6.43750,6.18750
1986-12-12,,,11.18750,11.42190,6.43750,6.18750
1986-12-15,,,11.18750,11.31250,6.50000,6.25000
1986-12-16,,,11.18750,11.31250,6.68750,6.37500
1986-12-17,,,11.23440,11.37500,7.06250,6.50000
1986-12-18,,,11.12500,11.37500,7.00000,6.43750
1986-12-19,,,11.18750,11.42190,7.29690,6.56250
1986-12-22,,,11.12500,11.31250,8.62500,6.87500
1986-12-23,,,11.06250,11.31250,8.06250,6.75000
1986-12-24,,,11.25000,11.35940,7.56250,6.56250
1986-12-25,,,#N/A,#N/A,#N/A,#N/A
1986-12-26,,,#N/A,#N/A,#N/A,#N/A
1986-12-29,,,11.18750,11.37500,7.76560,6.73440
1986-12-30,,,11.25000,11.31250,7.76560,6.73440
1986-12-31,,,11.25000,11.25000,6.75000,6.43750
1987-01-01,,,#N/A,#N/A,#N/A,#N/A
1987-01-02,,,11.17188,11.12500,6.50000,6.31250
1987-01-05,,,11.18750,11.06250,6.37500,6.25000
1987-01-06,,,11.14063,11.18750,6.37500,6.25000
1987-01-07,,,11.18750,11.12500,6.37500,6.25000
1987-01-08,,,11.18750,11.18750,6.25000,6.12500
1987-01-09,,,11.14063,11.12500,6.12500,6.12500
1987-01-12,,,11.12500,11.06250,6.18750,6.12500
1987-01-13,,,11.12500,11.06250,6.29688,6.23438
1987-01-14,,,11.12500,11.12500,6.34375,6.25000
1987-01-15,,,11.12500,11.12500,6.25000,6.18750
1987-01-16,,,11.12500,11.09375,6.18750,6.18750
1987-01-19,,,11.12500,11.00000,6.25000,6.25000
1987-01-20,,,11.12500,11.00000,6.20313,6.18750
1987-01-21,,,11.18750,11.06250,6.18750,6.18750
1987-01-22,,,11.25000,11.00000,6.18750,6.18750
1987-01-23,,,11.25000,11.06250,6.18750,6.18750
1987-01-26,,,11.18750,11.06250,6.25000,6.25000
1987-01-27,,,11.12500,11.12500,6.25000,6.25000
1987-01-28,,,11.12500,11.12500,6.25000,6.25000
1987-01-29,,,11.12500,11.12500,6.25000,6.25000
1987-01-30,,,11.12500,11.12500,6.20313,6.25000
1987-02-02,,,11.12500,11.12500,6.31250,6.31250
1987-02-03,,,11.06250,11.06250,6.26563,6.31250
1987-02-04,,,11.06250,11.06250,6.25000,6.28125
1987-02-05,,,11.06250,11.00000,6.18750,6.25000
1987-02-06,,,11.12500,10.93750,6.18750,6.25000
1987-02-09,,,11.12500,11.00000,6.31250,6.31250
1987-02-10,,,11.12500,11.00000,6.43750,6.43750
1987-02-11,,,11.12500,11.00000,6.54688,6.56250
1987-02-12,,,11.12500,11.00000,6.50000,6.56250
1987-02-13,,,11.12500,11.00000,6.43750,6.46875
1987-02-16,,,11.12500,10.93750,6.50000,6.56250
1987-02-17,,,11.18750,10.87500,6.56250,6.68750
1987-02-18,,,11.12500,10.75000,6.50000,6.62500
1987-02-19,,,10.93750,10.50000,6.37500,6.50000
1987-02-20,,,11.18750,10.67188,6.31250,6.43750
1987-02-23,,,11.25000,10.75000,6.31250,6.50000
1987-02-24,,,11.21875,10.68750,6.31250,6.50000
1987-02-25,,,11.18750,10.75000,6.29688,6.46875
1987-02-26,,,11.18750,10.87500,6.50000,6.43750
1987-02-27,,,11.18750,10.85938,6.46875,6.43750
1987-03-02,,,11.18750,10.68750,6.43750,6.43750
1987-03-03,,,11.18750,10.56250,6.43750,6.43750
1987-03-04,,,11.12500,10.50000,6.43750,6.43750
1987-03-05,,,10.93750,10.31250,6.43750,6.37500
1987-03-06,,,11.06250,10.43750,6.37500,6.37500
1987-03-09,,,10.93750,10.37500,6.50000,6.50000
1987-03-10,,,10.56250,10.15625,6.56250,6.50000
1987-03-11,,,10.50000,10.00000,6.62500,6.56250
1987-03-12,,,10.39063,10.00000,6.59375,6.50000
1987-03-13,,,10.37500,10.00000,6.56250,6.50000
1987-03-16,,,10.09375,9.81250,6.56250,6.50000
1987-03-17,,,10.06250,9.81250,6.56250,6.50000
1987-03-18,,,10.07813,9.75000,6.50000,6.50000
1987-03-19,,,10.00000,9.67188,6.50000,6.50000
1987-03-20,,,10.00000,9.68750,6.43750,6.43750
1987-03-23,,,9.96875,9.62500,6.50000,6.43750
1987-03-24,,,10.00000,9.68750,6.56250,6.56250
1987-03-25,,,9.93750,9.68750,6.50000,6.50000
1987-03-26,,,9.93750,9.79688,6.50000,6.50000
1987-03-27,,,10.00000,9.81250,6.50000,6.50000
1987-03-30,,,10.00000,9.93750,6.56250,6.62500
1987-03-31,,,10.06250,10.00000,6.57813,6.68750
1987-04-01,,,10.06250,9.93750,6.56250,6.68750
1987-04-02,,,10.01563,10.00000,6.50000,6.62500
1987-04-03,,,10.00000,10.00000,6.50000,6.62500
1987-04-06,,,10.06250,9.87500,6.43750,6.56250
1987-04-07,,,10.06250,9.87500,6.43750,6.56250
1987-04-08,,,10.06250,9.93750,6.43750,6.56250
1987-04-09,,,10.00000,9.89063,6.43750,6.56250
1987-04-10,,,9.98438,9.93750,6.56250,6.68750
1987-04-13,,,9.93750,9.93750,6.75000,6.87500
1987-04-14,,,9.93750,9.93750,7.00000,7.18750
1987-04-15,,,9.87500,9.87500,6.81250,7.04688
1987-04-16,,,9.87500,9.87500,6.75000,6.87500
1987-04-17,,,#N/A,#N/A,#N/A,#N/A
1987-04-20,,,#N/A,#N/A,#N/A,#N/A
1987-04-21,,,9.87500,9.81250,6.81250,7.00000
1987-04-22,,,9.81250,9.81250,6.68750,6.93750
1987-04-23,,,9.93750,9.85938,6.75000,7.00000
1987-04-24,,,9.93750,9.71875,6.81250,7.06250
1987-04-27,,,9.93750,9.68750,6.87500,7.21875
1987-04-28,,,9.93750,9.68750,6.81250,7.12500
1987-04-29,,,9.62500,9.50000,6.75000,7.06250
1987-04-30,,,9.56250,9.37500,6.81250,7.12500
1987-05-01,,,9.50000,9.20313,7.00000,7.18750
1987-05-04,,,9.50000,9.02313,#N/A,#N/A
1987-05-05,,,9.18750,9.00000,7.06250,7.31250
1987-05-06,,,9.18750,8.93750,7.03125,7.31250
1987-05-07,,,9.25000,9.00000,6.96875,7.25000
1987-05-08,,,9.12500,8.87500,6.93750,7.25000
1987-05-11,,,9.00000,8.81250,6.87500,7.18750
1987-05-12,,,8.93750,8.89063,6.93750,7.25000
1987-05-13,,,8.87500,8.81250,6.93750,7.18750
1987-05-14,,,8.81250,8.75000,6.93750,7.25000
1987-05-15,,,8.62500,8.65625,7.00000,7.25000
1987-05-18,,,8.56250,8.68750,7.25000,7.56250
1987-05-19,,,8.56250,8.68750,7.31250,7.56250
1987-05-20,,,8.53125,8.70313,7.37500,7.68750
1987-05-21,,,8.60938,8.75000,7.25000,7.62500
1987-05-22,,,8.50000,8.75000,7.25000,7.62500
1987-05-25,,,#N/A,#N/A,#N/A,#N/A
1987-05-26,,,8.64063,8.87500,7.06250,7.37500
1987-05-27,,,8.87500,9.06250,7.06250,7.31250
1987-05-28,,,8.93750,9.00000,7.18750,7.37500
1987-05-29,,,9.00000,9.00000,7.25000,7.37500
1987-06-01,,,8.93750,8.93750,7.12500,7.25000
1987-06-02,,,8.93750,8.81250,7.12500,7.31250
1987-06-03,,,8.89063,8.81250,7.18750,7.37500
1987-06-04,,,8.87500,8.87500,7.12500,7.31250
1987-06-05,,,8.93750,8.87500,7.12500,7.31250
1987-06-08,,,9.00000,8.87500,7.12500,7.31250
1987-06-09,,,9.00000,8.81250,7.12500,7.31250
1987-06-10,,,8.93750,8.75000,7.14063,7.31250
1987-06-11,,,8.87500,8.75000,7.12500,7.25000
1987-06-12,,,8.87500,8.70313,7.10938,7.25000
