DATE,EUR12MD156N,GBP12MD156N,USD12MD156N
1986-01-02,,11.75000,8.06250
1986-01-03,,11.81250,8.12500
1986-01-06,,11.87500,8.12500
1986-01-07,,12.06250,8.12500
1986-01-08,,12.43750,8.06250
1986-01-09,,12.87500,8.31250
1986-01-10,,12.68750,8.37500
1986-01-13,,12.78130,8.56250
1986-01-14,,13.18750,8.62500
1986-01-15,,13.00000,8.50000
1986-01-16,,12.81250,8.37500
1986-01-17,,12.87500,8.31250
1986-01-20,,13.12500,8.50000
1986-01-21,,13.37500,8.37500
1986-01-22,,13.37500,8.37500
1986-01-23,,13.37500,8.43750
1986-01-24,,13.12500,8.37500
1986-01-27,,13.00000,8.31250
1986-01-28,,12.62500,8.25000
1986-01-29,,12.71880,8.25000
1986-01-30,,12.75000,8.25000
1986-01-31,,12.65630,8.25000
1986-02-03,,12.93750,8.25000
1986-02-04,,13.00000,8.21880
1986-02-05,,12.71880,8.18250
1986-02-06,,12.68750,8.18250
1986-02-07,,12.65630,8.25000
1986-02-10,,12.56250,8.31250
1986-02-11,,12.56250,8.31250
1986-02-12,,12.56250,8.28130
1986-02-13,,12.62500,8.25000
1986-02-14,,12.62500,8.25000
1986-02-17,,12.56250,8.12500
1986-02-18,,12.40630,8.09380
1986-02-19,,12.06250,8.12500
1986-02-20,,12.06250,8.12500
1986-02-21,,12.09380,8.12500
1986-02-24,,11.93750,8.12500
1986-02-25,,11.65630,8.06250
1986-02-26,,11.68750,8.06250
1986-02-27,,11.75000,8.00000
1986-02-28,,11.75000,7.93750
1986-03-03,,11.87500,7.93750
1986-03-04,,11.81250,7.81250
1986-03-05,,11.62500,7.75000
1986-03-06,,11.59380,7.75000
1986-03-07,,11.46880,7.68750
1986-03-10,,11.31250,7.62500
1986-03-11,,11.12500,7.50000
1986-03-12,,11.00000,7.43750
1986-03-13,,11.06250,7.50000
1986-03-14,,11.00000,7.50000
1986-03-17,,11.00000,7.50000
1986-03-18,,11.00000,7.50000
1986-03-19,,10.87500,7.50000
1986-03-20,,10.50000,7.56250
1986-03-21,,10.37500,7.53130
1986-03-24,,10.40630,7.56250
1986-03-25,,10.50000,7.53130
